---,ID,Name,Age,Nationality,InitialTeam,RacerStats
29,29,Timo,25,Finland,ML,"(Rating=4,Reaction=5,Adaptability=-1,DrivingSkillsOnEachTrack=((Hard, 3),(Normal, 4),(Grip, 4)))"
30,30,Alexander,16,Chech,ML,"(Rating=1,Reaction=3,Adaptability=-1,DrivingSkillsOnEachTrack=((Hard, 1),(Normal, 3),(Grip, 3)))"
31,31,Kenneth,27,Denmark,SGo,"(Rating=6,Reaction=4,Adaptability=1,DrivingSkillsOnEachTrack=((Hard, 4),(Normal, 6),(Grip, 5)))"
32,32,Tobias,25,Germany,SGo,"(Rating=10,Reaction=7,Adaptability=-1,DrivingSkillsOnEachTrack=((Hard, 5),(Normal, 8),(Grip, 7)))"
33,33,Marek,42,Poland,SGo,"(Rating=12,Reaction=7,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 8),(Normal, 7),(Grip, 7)))"
34,34,Valera,48,Poland,SGo,"(Rating=8,Reaction=5,Adaptability=3,DrivingSkillsOnEachTrack=((Hard, 7),(Normal, 5),(Grip, 7)))"
35,35,Thomas,22,Germany,SGo,"(Rating=8,Reaction=7,Adaptability=1,DrivingSkillsOnEachTrack=((Hard, 4),(Normal, 6),(Grip, 6)))"
36,36,Sergej,16,Belarus,SGo,"(Rating=1,Reaction=8,Adaptability=-1,DrivingSkillsOnEachTrack=((Hard, 1),(Normal, 3),(Grip, 3)))"
37,37,Ilja,50,Belarus,RR,"(Rating=6,Reaction=4,Adaptability=-1,DrivingSkillsOnEachTrack=((Hard, 7),(Normal, 4),(Grip, 4)))"
38,38,Leva,45,GreatBritain,RR,"(Rating=7,Reaction=5,Adaptability=2,DrivingSkillsOnEachTrack=((Hard, 7),(Normal, 5),(Grip, 6)))"
39,39,Slavik,38,Russia,RR,"(Rating=3,Reaction=4,Adaptability=-3,DrivingSkillsOnEachTrack=((Hard, 4),(Normal, 4),(Grip, 3)))"
40,40,Troy,32,Australia,RR,"(Rating=1,Reaction=4,Adaptability=1,DrivingSkillsOnEachTrack=((Hard, 3),(Normal, 3),(Grip, 3)))"
41,41,Tihan,22,Poland,RR,"(Rating=5,Reaction=5,Adaptability=-3,DrivingSkillsOnEachTrack=((Hard, 3),(Normal, 5),(Grip, 3)))"
42,42,Marc C.,23,Italy,RR,"(Rating=1,Reaction=4,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 2),(Normal, 3),(Grip, 3)))"
43,43,Jason,28,Australia,UL,"(Rating=6,Reaction=5,Adaptability=1,DrivingSkillsOnEachTrack=((Hard, 4),(Normal, 6),(Grip, 5)))"
44,44,Erik M.,20,Poland,UL,"(Rating=5,Reaction=7,Adaptability=-1,DrivingSkillsOnEachTrack=((Hard, 3),(Normal, 5),(Grip, 4)))"
45,45,Chriss,36,GreatBritain,UL,"(Rating=4,Reaction=5,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 4),(Normal, 4),(Grip, 4)))"
46,46,Zhan,33,Germany,UL,"(Rating=7,Reaction=8,Adaptability=-4,DrivingSkillsOnEachTrack=((Hard, 6),(Normal, 6),(Grip, 4)))"
47,47,Artur B.,15,Russia,UL,"(Rating=1,Reaction=4,Adaptability=-1,DrivingSkillsOnEachTrack=((Hard, 1),(Normal, 3),(Grip, 3)))"
48,48,Nikita,22,GreatBritain,UL,"(Rating=2,Reaction=4,Adaptability=-3,DrivingSkillsOnEachTrack=((Hard, 2),(Normal, 4),(Grip, 2)))"
49,49,Teodor,24,Chech,OL,"(Rating=5,Reaction=5,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 3),(Normal, 6),(Grip, 4)))"
50,50,Artem,16,Russia,OL,"(Rating=5,Reaction=8,Adaptability=2,DrivingSkillsOnEachTrack=((Hard, 3),(Normal, 5),(Grip, 5)))"
51,51,Matiass,35,Italy,OL,"(Rating=5,Reaction=5,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 5),(Normal, 5),(Grip, 4)))"
52,52,Scott,34,Italy,OL,"(Rating=7,Reaction=6,Adaptability=1,DrivingSkillsOnEachTrack=((Hard, 6),(Normal, 7),(Grip, 7)))"
53,53,Vova,46,Ukraine,OL,"(Rating=2,Reaction=2,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 5),(Normal, 3),(Grip, 3)))"
54,54,Oleg,15,Belarus,OL,"(Rating=1,Reaction=4,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 1),(Normal, 3),(Grip, 3)))"
55,55,Maks,40,Latvia,WG,"(Rating=6,Reaction=6,Adaptability=1,DrivingSkillsOnEachTrack=((Hard, 6),(Normal, 6),(Grip, 5)))"
56,56,Nicki,36,Denmark,WG,"(Rating=4,Reaction=5,Adaptability=-1,DrivingSkillsOnEachTrack=((Hard, 4),(Normal, 4),(Grip, 4)))"
57,57,Tolja,24,Belarus,WG,"(Rating=4,Reaction=5,Adaptability=1,DrivingSkillsOnEachTrack=((Hard, 3),(Normal, 5),(Grip, 4)))"
58,58,Maris,18,Latvia,WG,"(Rating=6,Reaction=8,Adaptability=-1,DrivingSkillsOnEachTrack=((Hard, 3),(Normal, 6),(Grip, 4)))"
59,59,Ivan,26,Belarus,WG,"(Rating=4,Reaction=5,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 3),(Normal, 5),(Grip, 4)))"
60,60,Jarik,22,Ukraine,WG,"(Rating=2,Reaction=4,Adaptability=1,DrivingSkillsOnEachTrack=((Hard, 2),(Normal, 4),(Grip, 4)))"
61,61,Tai,38,GreatBritain,FZ,"(Rating=6,Reaction=6,Adaptability=2,DrivingSkillsOnEachTrack=((Hard, 5),(Normal, 5),(Grip, 6)))"
62,62,Paulo,24,Italy,FZ,"(Rating=6,Reaction=7,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 4),(Normal, 6),(Grip, 5)))"
63,63,Jacob T.,23,Sweden,FZ,"(Rating=5,Reaction=6,Adaptability=-3,DrivingSkillsOnEachTrack=((Hard, 3),(Normal, 5),(Grip, 3)))"
64,64,Edik B.,46,Chech,FZ,"(Rating=2,Reaction=3,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 5),(Normal, 3),(Grip, 3)))"
65,65,Slavik K.,20,Denmark,FZ,"(Rating=1,Reaction=5,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 2),(Normal, 3),(Grip, 3)))"
66,66,Nikita N.,16,Germany,FZ,"(Rating=2,Reaction=5,Adaptability=-1,DrivingSkillsOnEachTrack=((Hard, 1),(Normal, 3),(Grip, 3)))"
67,67,Marek G.,16,Poland,SGn,"(Rating=6,Reaction=8,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 3),(Normal, 6),(Grip, 5)))"
68,68,Kolja,44,Ukraine,SGn,"(Rating=5,Reaction=4,Adaptability=1,DrivingSkillsOnEachTrack=((Hard, 6),(Normal, 4),(Grip, 5)))"
69,69,Edvin,43,Latvia,SGn,"(Rating=6,Reaction=5,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 6),(Normal, 5),(Grip, 5)))"
70,70,Martin,34,Germany,SGn,"(Rating=2,Reaction=4,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 4),(Normal, 4),(Grip, 3)))"
71,71,Hugo,21,France,SGn,"(Rating=1,Reaction=4,Adaptability=-1,DrivingSkillsOnEachTrack=((Hard, 2),(Normal, 3),(Grip, 3)))"
72,72,Artemij,15,Denmark,SGn,"(Rating=2,Reaction=4,Adaptability=0,DrivingSkillsOnEachTrack=((Hard, 1),(Normal, 3),(Grip, 3)))"
